Snake,Nstar,Nnode,sri_final_grade,l_median,b_median,parallax_median,Loga_part_p50,median_pml_lsr,median_pmb_lsr
127,281,3,Gold,140.27464298575478,23.55060847904185,0.7271889207062922,9.31391054854369,-2.654097861723072,2.161176892536774
128,1641,12,Silver,132.62578618650144,22.69776782579428,0.6965587605411571,9.493547295454546,-1.3666378741022975,0.9470846154963702
129,664,4,Gold,147.1178529795002,19.32778049010481,0.5883032562951196,9.369752545454544,0.8356836906524227,0.7461384705009511
130,221,3,Gold,146.57314401149517,24.898268276845545,0.5692031679900578,9.257689876811597,0.291808363784404,0.9069330788816116
131,267,4,Gold,179.07621902874948,30.946802225763573,0.8610943789447651,9.462655833333336,1.2596714284127786,1.0361819072517462
132,1030,5,Gold,157.4212077550841,24.80843279019055,0.7239314460169919,9.28930168797954,1.0562225563442145,-0.0251221881221503
133,443,6,Gold,162.86692155348118,28.071861162250087,0.7017551382213674,9.501440236111112,1.1976031888589331,2.0773373759861915
134,201,2,Silver,44.141916091929154,18.08967524906854,0.9263442518994286,9.025410674342105,0.8724685684334452,1.5180919066082748
135,446,6,Silver,326.3944399936449,2.8931825742352864,0.505084873196637,7.593289171875,-4.862513873690004,0.0879614111161256
136,486,4,Silver,184.1237816226191,2.153644458977148,0.342969592360046,6.6436872,1.08893136802194,-0.1279848271491996
137,426,4,Silver,51.89250079785094,19.39761596087772,0.6171079123740675,9.387100946107784,-3.81188903912634,-0.6527532295268046
138,255,5,Silver,341.6539462515071,-5.487518283494588,0.4354332874660214,8.517387236842106,-2.7457240817480937,-0.8952436371463912
139,5073,8,Silver,76.25669433477387,1.423227697301119,0.543403973609769,6.509315,-7.187797005173377,0.0860082023440618
140,286,3,Gold,43.36090481348539,16.144154976930388,0.8389396624042231,9.337848879629629,-3.144141965826509,1.4460658608805863
141,111,2,Gold,41.41345563881832,13.261438080847196,0.6270766307342232,9.417148,-4.912052568040367,-1.4571488972824862
142,317,5,Bronze,274.26816446761967,-30.98444255908121,1.352616614793157,9.395762390625,-1.0573701385195011,0.7946373177693574
143,335,4,Bronze,14.395248911827377,-28.716989668845702,0.8511162865357714,9.676579175,-4.299367061248846,0.7062729689138052
144,393,5,Gold,349.40024789368255,-19.32707245818716,0.6179128007855461,9.547192677631578,-3.1864137977290854,-0.4244551397689884
145,193,2,Silver,344.1549293257303,-16.077875755287167,0.5922787077407644,9.401173,-2.036925679941145,-2.0918317544407903
146,248,3,Gold,288.2014990785001,-6.621809413977775,0.4961390360656558,8.886968099099098,-7.882309314344379,0.617109536233845
147,137,3,Gold,91.50816418510696,-14.961901617498432,0.5621290916381506,9.296123104651162,-7.74603606970644,-0.2763974326032956
148,415,5,Bronze,246.5280244748645,-10.565134877670356,0.5015780450851554,8.965545307692308,-3.558667721529449,0.7192296264573163
149,820,3,Gold,79.31006418555413,11.911167990856065,0.8613693059819494,8.727728333333333,-10.633695448000193,-0.2137103535040603
150,524,6,Bronze,317.2125999286116,-9.675093964802398,0.4972666356340252,8.386573673366833,-4.291926918685625,-0.4124117105926859
151,284,2,Gold,186.3371148254322,-11.080246450930808,0.7064982677113796,8.966342,-1.5663475305496817,0.4294447338809928
152,397,3,Gold,193.26295035823983,-5.237726928436704,0.4681102814706619,7.074055903830645,0.044125443175276,0.763594975027958
153,286,5,Silver,250.45622116472583,-29.05944656701387,1.0034175051259178,9.622861,-4.420546989237815,2.248454532370638
154,764,5,Silver,184.23624849379704,-8.788621817419386,0.5565740804247705,7.777020669172932,-0.0149327940701124,0.5250084977310598
155,538,2,Gold,194.5433306011406,-10.031967584654469,0.4967056549892267,7.362152,0.0239405975836409,0.4125500647992132
156,123,3,Gold,103.53749083755652,6.922790432509748,0.4645809484762245,8.607723239130435,-2.5848912326596416,0.3195830166968129
157,177,3,Gold,319.3893798969143,-14.88109033808164,0.6324432116465167,9.445819365079366,-4.838017323230478,-0.584211189678686
158,244,3,Gold,92.288372272102,12.510683369938125,0.5697815850712752,9.183297115384615,-6.624884311530896,0.1889730153129115
159,161,3,Silver,46.87257766545986,-14.100863010451675,0.6513000169120167,9.507748375,-7.518094029268728,-0.179773469879624
160,201,3,Gold,264.0783727749741,7.629359216179852,0.6810874588402127,8.542417659090908,-8.717505649045606,-1.1384829934726737
161,140,2,Gold,293.49028395942264,-29.38566449076318,0.950656663500673,9.604649088607594,0.0920017251445053,1.0752588313572324
162,417,4,Silver,273.5740961929793,-21.43839670297177,0.8398678157655296,9.469480361313868,-2.208664701984413,0.4296910055456949
163,188,2,Silver,52.27946285561985,-11.483076366280848,0.5290053415427718,9.36356374125874,-4.9535168781762255,-0.1629650047367782
164,205,2,Gold,125.2007592072556,-1.2225402001109458,0.3504602015078034,6.9801044,-3.05609929115041,-0.216217890525351
165,620,7,Bronze,97.60161450632134,-25.5628882781398,0.8742943367215874,9.412218471153846,-9.14556476507007,-1.8381367297517408
166,161,3,Gold,309.19721869093803,-23.05517066717295,1.3194608450948615,9.088123201612904,-8.472372893222245,-0.1910903211857457
167,650,6,Silver,169.3464641634076,5.0543472611678695,0.3703313198030766,7.274141424475524,0.865237535118708,0.1782899559706125
168,458,7,Silver,295.1259169823724,-23.09649981845353,0.9876068991976632,9.245573072727272,-3.5802652364404217,-0.4903148472028673
169,412,4,Silver,130.2013307237749,7.009762241378556,0.5565752403787927,7.787403289312976,-2.1799476452603663,0.6757346072192794
170,202,3,Silver,169.09095335476172,16.108984538837202,0.7544473495568031,9.25674873846154,1.408850859051599,2.938445723151456
171,166,2,Gold,339.1261292259794,20.613095765527376,0.7334535384983522,9.663165,-4.019004926250025,1.250409954134231
